Occupation Code,11,21,22,23,31-33,42,44-45,48-49,51,52,53,54,55,56,61,62,71,72,81,90
19-4091,0.0,1.5,1.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.7,0.0,7.2,1.5,0.0,0.0,1.9,28.1
19-4099,0.0,0.4,0.3,0.3,8.5,1.6,0.3,0.0,0.5,1.2,0.0,19.2,1.4,13.2,25.0,8.5,0.0,0.0,0.6,16.6
23-1011,0.0,0.2,0.1,0.1,0.7,0.3,0.1,0.1,0.9,3.4,0.4,50.2,2.3,1.2,0.6,0.5,0.1,0.0,1.1,17.6
23-2011,0.0,0.1,0.1,0.1,0.5,0.2,0.1,0.1,0.4,3.0,0.3,74.6,2.0,1.6,0.5,0.5,0.0,0.0,0.4,12.1
23-2093,0.0,4.2,0.1,0.5,0.0,0.8,2.4,0.0,1.1,29.1,6.1,38.0,1.1,1.8,0.0,0.0,0.0,0.0,0.0,2.2
23-2099,0.0,0.4,0.0,0.0,0.4,0.2,0.5,0.0,1.0,2.9,0.3,22.9,1.3,0.0,1.3,1.4,0.0,0.0,1.3,58.0
27-3031,0.0,0.2,0.6,0.4,2.2,1.5,1.4,0.4,4.5,4.3,0.9,21.2,4.0,2.6,12.0,7.0,3.3,0.9,20.4,9.3
29-9011,0.0,3.8,2.1,9.7,15.7,2.0,0.2,5.0,0.6,0.9,0.4,10.1,3.9,0.0,4.9,5.3,0.2,0.1,1.8,22.1
29-9012,0.0,4.7,1.2,10.5,18.3,3.5,0.0,6.5,0.0,0.7,0.0,10.1,2.8,5.1,6.6,7.7,0.3,0.0,1.0,14.3
33-1099,0.0,0.1,0.8,0.2,0.9,0.2,5.0,1.3,0.3,0.6,0.7,0.7,1.3,46.1,4.7,5.1,5.0,4.2,1.4,18.4
37-2012,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,1.8,0.1,0.1,9.0,0.5,16.4,0.9,31.9,28.4,1.0
37-3011,0.0,0.0,0.0,1.4,0.2,0.2,0.8,0.1,0.0,0.0,2.3,0.9,0.1,46.8,3.0,0.9,8.5,1.5,3.3,7.2
41-1012,0.0,0.1,0.1,0.7,3.5,18.5,7.3,0.6,4.8,11.4,2.2,4.1,2.0,5.5,0.2,0.3,0.4,0.4,0.9,0.2
41-2022,0.0,0.0,0.0,0.4,0.5,20.8,72.3,0.3,0.0,0.0,0.5,0.0,0.3,0.6,0.0,0.0,0.1,0.0,3.8,0.0
41-3099,0.0,0.5,0.3,8.8,1.5,2.8,12.7,4.2,12.7,3.0,2.4,18.4,2.1,15.5,1.5,2.8,2.9,2.8,3.9,0.3
41-4011,0.0,0.4,0.1,1.1,15.8,53.1,2.3,0.1,7.3,0.5,0.5,12.4,1.9,1.0,0.0,0.3,0.0,0.0,0.6,0.0
41-9021,0.0,0.1,0.0,1.0,0.0,0.1,0.0,0.0,0.0,1.3,38.8,0.5,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.4
41-9022,0.0,0.9,0.2,3.2,0.0,0.0,0.0,0.1,0.0,0.6,34.5,1.0,0.7,0.6,0.0,0.0,0.0,0.0,0.2,1.5
41-9031,0.0,0.1,0.3,1.1,20.4,32.8,0.9,0.2,13.1,0.0,0.3,24.7,4.1,1.2,0.2,0.0,0.0,0.0,0.5,0.0
43-3021,0.0,0.2,0.5,1.6,2.2,4.6,4.5,2.4,1.5,6.4,1.1,11.8,5.4,7.2,1.7,43.9,0.1,0.3,0.9,2.7
43-3051,0.0,0.7,0.3,7.9,6.3,2.7,4.2,3.8,1.4,3.3,1.4,14.3,7.9,10.6,9.5,10.4,0.9,2.1,2.3,8.4
43-3061,0.0,0.4,0.4,2.6,14.8,11.5,7.6,2.1,1.2,1.7,1.6,5.3,6.5,4.6,4.9,8.0,0.4,1.8,2.1,22.3
43-4051,0.0,0.0,1.0,0.9,5.0,7.0,14.1,3.2,4.9,20.5,1.6,6.1,3.4,17.9,1.0,5.9,1.4,0.6,2.3,2.6
43-4071,0.0,0.3,0.2,1.3,2.2,2.0,5.1,1.5,2.6,6.8,1.0,17.8,2.5,9.7,8.1,21.3,0.3,0.1,1.8,13.3
43-4151,0.0,0.1,0.2,0.7,11.3,31.0,29.7,4.3,4.9,0.6,1.1,2.3,2.3,4.4,0.3,0.7,0.1,1.0,0.9,0.2
43-4161,0.0,0.4,0.1,1.3,6.8,2.0,11.3,2.8,2.0,4.5,0.7,7.2,7.7,11.2,8.4,12.9,0.7,1.6,1.7,16.6
43-4171,0.0,0.1,0.0,1.6,1.7,1.6,3.6,0.6,0.5,2.8,2.7,10.5,1.0,4.0,3.6,45.6,4.8,0.7,11.8,1.8
43-4199,0.0,0.1,0.1,0.3,0.7,0.7,2.0,1.0,1.5,4.2,3.0,2.9,2.3,5.2,16.7,8.1,0.3,0.2,1.6,48.7
43-5021,0.0,0.1,0.0,0.6,0.7,1.2,3.3,24.9,0.8,3.4,0.9,8.5,1.5,6.5,1.5,19.3,0.2,0.4,0.8,3.0
43-5032,0.0,1.2,1.2,6.9,3.3,5.2,3.2,43.0,2.0,2.2,1.3,1.9,2.2,9.6,2.0,2.5,0.3,0.8,2.1,7.0
43-5061,0.0,0.7,1.0,4.0,33.0,7.5,3.7,6.7,5.2,1.6,1.2,7.3,4.1,6.1,2.0,7.6,1.2,0.6,1.2,4.7
43-5071,0.0,0.1,0.0,0.5,30.6,22.0,18.2,13.0,0.7,0.2,0.3,2.3,1.0,5.9,0.4,1.1,0.2,0.5,1.2,1.5
43-5081,0.0,0.1,0.2,0.7,4.4,10.4,67.1,5.8,0.2,0.1,0.3,0.9,0.5,3.9,0.4,2.0,0.1,0.5,0.5,1.4
43-5111,0.0,2.7,0.2,0.6,18.4,12.7,9.8,11.8,0.1,0.5,0.2,3.6,1.4,31.3,0.7,1.5,0.0,0.4,0.4,3.0
43-6011,0.0,0.4,0.6,2.8,4.3,2.8,1.3,1.1,2.7,11.7,2.3,12.1,6.0,5.3,15.0,9.5,1.1,0.6,6.5,13.2
